Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ESP32 with USBC\Project Outputs for ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC(Prototype).csv

========================================================================================================================
File Design Information:

Date:       31-12-25
Time:       01:27
Revision:   c78b38099cfc770c4500b8587e478aca9b11dc94
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R16","10K","TopLayer","RESC1005X37N","1020.000","645.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R15","5K1","TopLayer","RESC1005X37N","435.000","275.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N","437.000","162.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","875.000","590.000","0","RES SMD 10K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","430.000","820.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","5K1","TopLayer","RESC1005X37N","430.000","720.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R10","4K7","TopLayer","RESC1005X37N","875.000","645.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","615.000","590.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","535.000","790.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","27R","TopLayer","RESC1005X37N","538.000","738.000","0","RES 27 OHM 1% 1/16W 0402"
"R4","1K","TopLayer","RESC1005X37N","1830.000","780.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1K","TopLayer","RESC1005X37N","1830.000","192.992","90","RES 1K OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","700.984","520.000","0","RES 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1117.423","782.598","0","TRANS NPN 25V 1.5A SOT23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1122.423","637.598","0","TRANS NPN 25V 1.5A SOT23-3"
"J6","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1435.000","510.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","370.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","245.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","754.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","SOD882","355.000","175.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","355.000","244.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","360.000","375.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","352.000","725.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","349.000","810.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","343.000","629.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED","TopLayer","LED0402R","1770.000","775.000","270","LED RED 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1775.000","190.000","90","LED YLW-GRN 0402 SMD"
"C16","1uF, 35V","TopLayer","CAPC1005X55N","1665.000","175.000","270","CAP CER 1UF 35V X5R 0402"
"C15","100nF, 50V","TopLayer","CAPC1005X55N","2555.000","845.000","180","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X55N","2468.071","845.000","0","CAP CER 10UF 10V X5R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X55N","530.000","190.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X55N","575.000","190.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X55N","570.000","370.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","445.000","375.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF, 50V","TopLayer","CAPC1005X55N","535.000","835.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","535.000","667.000","0","CAP CER 0.1UF 50V X7R 0402"
"C6","100nF, 50V","TopLayer","CAPC1005X55N","905.000","805.000","180","CAP CER 0.1UF 50V X7R 0402"
"C5","100nF, 50V","TopLayer","CAPC1005X55N","2636.929","845.000","180","CAP CER 0.1UF 50V X7R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","2635.000","145.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X55N","735.000","610.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4u7, 16V","TopLayer","CAPC1005X55N","735.000","565.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","450.000","633.000","180","CAP CER 0.1UF 50V X7R 0402"
